"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2019-09-14","80.4","-2.2446","5.6339","Orlando Arcia",606115,656427,"strikeout","swinging_strike",,,,,14,"Orlando Arcia strikes out swinging.  Cory Spangenberg steals (2) 2nd base.  ","R","R","R","STL","MIL","S",2,"null",0,2,2019,"1.0318","-1.0605","1.6175","-0.8097","null","null",605486,1,5,"Top","null","null",,,425877,,"190915_003024","6.6294","-116.8953","-5.5204","8.1724","24.2667","-41.0502","3.4040","1.6348","null","null","null","80.8190","2610","6.8520",566640,656427,425877,502671,543939,669242,657557,542303,664056,451594,"53.6471","null","null","0.00",1,0,0,"null",34,"3","Knuckle Curve",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2019-09-02","90.2","-1.9972","5.6544","Orlando Arcia",606115,543037,"single","hit_into_play_no_out",,,,,14,"Orlando Arcia singles on a soft ground ball to third baseman Abraham Toro.   Cory Spangenberg to 3rd.  ","R","R","R","MIL","HOU","X",5,"ground_ball",1,2,2019,"0.4641","0.1240","1.1050","1.8488","null",605486,"null",1,5,"Bot","113.25","183.34",,,455117,,"190902_215029","6.7231","-131.3043","-3.8730","4.2580","22.4799","-30.2470","3.4200","1.6200","1","52.9","-70.2","90.7300","2717","6.1670",567620,543037,455117,493329,514888,647351,608324,670541,543807,488726,"54.3324","0.222","0.177","0.90",1,1,0,1,38,"4","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"SL","2019-08-16","82.0","2.4367","6.2183","Orlando Arcia",606115,571578,"field_out","hit_into_play",,,,,14,"Orlando Arcia flies out to right fielder Adam Eaton.  ","R","R","L","WSH","MIL","X",9,"fly_ball",1,2,2019,"-0.4802","0.1180","0.5104","1.3342","null","null",444489,0,6,"Top","187.99","109.56",,,543228,,"190817_005425","-3.4249","-119.3985","-4.7796","-4.0024","20.2330","-30.4406","3.2900","1.4600","258","77.3","39.5","82.0810","null","6.0420",565955,571578,543228,571431,572821,543685,607208,665742,645302,594809,"54.4580","0.055","0.058","0.00",1,0,0,3,47,"4","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"SL","2019-08-16","82.7","2.3697","6.1677","Orlando Arcia",606115,571578,"walk","ball",,,,,13,"Orlando Arcia walks.   Mike Moustakas to 2nd.  ","R","R","L","WSH","MIL","B","null","null",3,2,2019,"-0.4140","-0.0378","-1.7800","1.5909","null","null",519058,1,4,"Top","null","null",,,543228,,"190817_001748","-8.5987","-120.1131","-3.8650","-2.4503","21.3592","-32.0644","3.3990","1.6130","null","null","null","82.3610","2427","5.9840",565955,571578,543228,571431,572821,543685,607208,665742,645302,594809,"54.5151","null","null","0.70",1,0,0,"null",31,"6","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"CU","2019-08-14","80.0","-1.9901","6.3520","Orlando Arcia",606115,502043,"strikeout","swinging_strike",,,,,13,"Orlando Arcia strikes out swinging.  ","R","R","R","MIL","MIN","S",2,"null",3,2,2019,"0.4200","-0.8891","-0.0049","1.1395",456715,519346,"null",2,3,"Bot","null","null",,,641598,,"190814_191857","3.5991","-116.5065","-3.1730","3.2463","20.0669","-40.0019","3.3727","1.6237","null","null","null","80.6260","2501","6.4870",567613,502043,641598,543068,570731,593934,593871,592696,596146,503556,"54.0122","null","null","0.00",1,0,0,"null",31,"7","Curveball",2,3,2,3,3,2,2,3,"Standard","Standard"
"CH","2019-08-03","82.4","2.5449","6.3657","Orlando Arcia",606115,430935,"force_out","hit_into_play",,,,,9,"Orlando Arcia grounds into a force out, shortstop Javier Baez to second baseman David Bote.   Mike Moustakas out at 2nd.  ","R","R","L","CHC","MIL","X",6,"ground_ball",2,2,2019,"1.0504","0.5276","0.5205","2.1827","null","null",519058,2,2,"Top","113.25","148.81",,,575929,,"190803_184931","-6.6066","-119.9188","-4.0634","11.2872","20.5022","-26.5752","3.4700","1.6500","35","100.6","-0.9","82.6270","1752","6.1760",565179,430935,575929,519203,623520,592178,595879,592206,546991,518792,"54.3234","0.435","0.392","0.00",1,0,0,4,12,"5","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-08-02","91.0","2.5497","5.8831","Orlando Arcia",606115,500779,"strikeout","foul_tip",,,,,12,"Orlando Arcia strikes out on a foul tip.  ","R","R","L","CHC","MIL","S",2,"null",1,2,2019,"0.1203","1.2856","0.0065","4.0138","null",444489,"null",2,2,"Top","null","null",,,575929,,"190802_185114","-6.6537","-132.4693","-1.5568","2.8329","28.1579","-16.8905","3.6847","1.6293","null","null","null","91.2370","1933","6.4000",565178,500779,575929,519203,623520,592178,595879,656941,518792,592206,"54.0990","null","null","0.00",1,0,0,"null",16,"4","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2019-08-01","92.8","-1.8477","6.6325","Orlando Arcia",606115,456701,"field_out","hit_into_play",,,,,12,"Orlando Arcia grounds out, pitcher Homer Bailey to first baseman Matt Olson.   Eric Thames to 3rd.    Travis Shaw to 2nd.  ","R","R","R","OAK","MIL","X",1,"ground_ball",2,2,2019,"-0.4145","1.4069","0.9895","3.2647","null",519346,543768,0,4,"Top","127.55","180.91",,,607333,,"190801_204615","8.1396","-134.8425","-5.9071","-6.6745","26.5504","-13.9949","3.4100","1.6300","27","92.5","-4.6","92.9440","2165","6.2440",566141,456701,607333,621566,595777,656305,543760,543257,592192,640461,"54.2560","0.285","0.238","0.00",1,0,0,2,29,"5","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"FC","2019-07-27","88.4","2.8357","5.5862","Orlando Arcia",606115,452657,"strikeout","foul_tip",,,,,13,"Orlando Arcia strikes out on a foul tip.  ","R","R","L","MIL","CHC","S",2,"null",3,2,2019,"-0.0035","0.9114","-1.3627","1.2617","null","null",444489,2,2,"Bot","null","null",,,575929,,"190727_234523","-10.1513","-128.2508","-6.2877","1.9597","25.2464","-21.1568","3.3800","1.6200","null","null","null","87.9730","2459","6.0790",567607,452657,575929,519203,596825,592178,595879,656941,664023,518792,"54.4204","null","null","0.00",1,0,0,"null",17,"6","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2019-07-18","86.5","-1.6000","6.3045","Orlando Arcia",606115,661255,"single","hit_into_play_score",,,,,9,"Orlando Arcia singles on a line drive to center fielder Ketel Marte.   Eric Thames scores.    Keston Hiura to 2nd.  ","R","R","R","ARI","MIL","X",8,"line_drive",1,2,2019,"0.8591","0.2277","0.6881","1.9377",519346,"null",669374,0,8,"Top","134.61","118.23",,,608348,,"190719_040300","3.7077","-125.8678","-4.6446","8.2857","25.2017","-29.0807","3.6400","1.7500","178","86.8","10.3","86.0960","null","6.0010",564875,661255,608348,572233,500871,571875,605113,641796,606466,430945,"54.4988","0.625","0.550","0.90",1,1,0,4,53,"4","Slider",1,1,1,1,1,1,1,1,"Strategic","Standard"
