"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2016-11-02","95.8","-2.8072","5.8283","Javier Baez",595879,543766,"strikeout","foul_bunt",,,,,5,"Javier Baez strikes out on a foul bunt.  ","W","R","R","CLE","CHC","S",2,"null",3,2,2016,"0.64933333333333333333","1.4169000000000000","-0.0380","2.4060",518792,"null","null",1,9,"Top","null","null",,,543228,,"161102_234334","4.4690","-139.2800","-7.3890","11.2410","25.0140","-15.0660","3.3500","1.6000","null","null","null","96.4990","2517","5.9870",487637,543766,543228,435063,543401,608070,596019,446386,434658,492841,"54.5125","null","null","0.00",1,0,0,"null",72,"6","Cutter",6,6,6,6,6,6,6,6,"Strategic","Standard"
"FC","2016-11-01","86.4","-0.8166","6.0585","Javier Baez",595879,458708,"field_out","hit_into_play",,,,,14,"Javier Baez grounds out, second baseman Jason Kipnis to first baseman Mike Napoli.  ","W","R","R","CLE","CHC","X",4,"ground_ball",1,2,2016,"0.59923333333333333333","1.05140000000000000000","1.1980","2.1530","null","null","null",1,2,"Top","125.65","140.93",,,547379,,"161101_204212","2.5500","-125.7200","-5.3210","8.5170","21.7290","-22.4440","3.3400","1.6000","7","72.6","-17.1","86.1800","2713","5.5190",487636,458708,547379,435063,543401,608070,596019,424825,571980,502082,"54.9806","0.061","0.038","0.00",1,0,0,2,13,"4","Cutter",0,3,3,0,3,0,3,0,"Standard","Standard"
"KC","2016-10-30","85.1","-1.5911","5.7429","Javier Baez",595879,592102,"strikeout","swinging_strike_blocked",,,,,14,"Javier Baez strikes out swinging.  ","W","R","R","CHC","CLE","S",2,"null",2,2,2016,"0.38909166666666666667","-0.49373333333333333333","1.2990","0.7610","null",518792,"null",1,8,"Bot","null","null",,,543228,,"161030_223114","5.4680","-123.7620","-3.6560","5.7380","26.7260","-39.5340","3.3000","1.5900","null","null","null","83.7900","2633","5.7050",487635,592102,543228,435063,543401,608070,596019,467793,434658,446386,"54.7946","null","null","0.00",1,0,0,"null",65,"6","Knuckle Curve",3,2,3,2,2,3,3,2,"Standard","Standard"
"SL","2016-10-30","83.0","-3.2884","5.9320","Javier Baez",595879,543766,"strikeout","swinging_strike_blocked",,,,,14,"Javier Baez strikes out swinging, catcher Roberto Perez to first baseman Mike Napoli.  ","W","R","R","CHC","CLE","S",2,"null",1,2,2016,"1.0362166666666667","-0.52096666666666666667","0.7440","-0.1320","null","null","null",1,6,"Bot","null","null",,,547379,,"161030_212220","6.1680","-120.5990","-5.4080","12.1910","26.1780","-39.4130","3.3000","1.5900","null","null","null","80.7330","2960","5.1230",487635,543766,547379,435063,543401,608070,596019,467793,434658,446386,"55.3762","null","null","0.00",1,0,0,"null",47,"4","Slider",3,2,3,2,2,3,3,2,"Standard","Standard"
"SL","2016-10-29","86.1","2.3467","5.2132","Javier Baez",595879,453192,"field_out","hit_into_play",,,,,4,"Javier Baez pops out to shortstop Francisco Lindor.  ","W","R","L","CHC","CLE","X",6,"popup",0,2,2016,"-0.72285000000000000000","-0.02790000000000000000","-0.5940","2.5780","null","null","null",1,7,"Bot","97.26","144.48",,,547379,,"161029_215008","-5.3050","-125.3220","0.2270","-6.8180","23.5810","-34.6450","3.5200","1.6600","145","55.5","46.0","86.4120","2646","6.3650",487634,453192,547379,435063,543401,608070,596019,446386,434658,502082,"54.1341","0.161","0.111","0.00",1,0,0,1,59,"4","Slider",1,7,1,7,7,1,1,7,"Standard","Standard"
"FC","2016-10-26","93.4","-2.8480","5.8465","Javier Baez",595879,543766,"strikeout","swinging_strike",,,,,12,"Javier Baez strikes out swinging.  ","W","R","R","CLE","CHC","S",2,"null",2,2,2016,"0.32925000000000000000","0.74753333333333333333","1.3370","2.8450","null",656941,"null",1,5,"Top","null","null",,,547379,,"161026_211501","9.1570","-135.6950","-3.9140","6.2750","23.7490","-24.8170","3.2200","1.5500","null","null","null","93.5030","2359","5.6880",487632,543766,547379,435063,543401,608070,596019,424825,571980,502082,"54.8115","null","null","0.00",1,0,0,"null",39,"6","Cutter",0,4,4,0,4,0,4,0,"Standard","Standard"
"SI","2016-10-25","91.8","-1.7231","5.4073","Javier Baez",595879,446372,"strikeout","called_strike",,,,,6,"Javier Baez called out on strikes.  ","W","R","R","CLE","CHC","S",2,"null",2,2,2016,"-1.19184166666666666667","1.09440000000000000000","0.4440","2.4940","null",450314,"null",1,2,"Top","null","null",,,547379,,"161025_204759","7.3590","-133.5540","-4.1420","-13.7660","28.9670","-20.8320","3.2000","1.5200","null","null","null","92.3610","2383","6.3360",487631,446372,547379,435063,543401,608070,596019,446386,434658,502082,"54.1632","null","null","0.00",1,0,0,"null",14,"5","Sinker",2,0,0,2,0,2,0,2,"Standard","Standard"
"FF","2016-10-22","94.4","0.9271","6.2748","Javier Baez",595879,477132,"field_out","hit_into_play",,,,,12,"Javier Baez pops out to first baseman Adrian Gonzalez.  ","L","R","L","CHC","LAD","X",3,"popup",2,2,2016,"0.17060000000000000000","1.9157000000000000","0.1100","4.3580",519203,"null","null",1,1,"Bot","132.26","185.53",,,518735,,"161022_193032","-3.2750","-137.3730","-3.5290","4.0630","35.3690","-9.6230","3.4900","1.6500","null","80.0","69.0","94.2330","2371","6.5680",487629,477132,518735,408236,400284,457759,608369,592808,592626,502210,"53.9320","0.002","0.000","0.00",1,0,0,3,8,"8","4-Seam Fastball",2,0,2,0,0,2,2,0,"Strategic","Standard"
"CH","2016-10-20","82.9","1.4305","6.1002","Javier Baez",595879,501593,"field_out","hit_into_play",,,,,14,"Javier Baez flies out to left fielder Howie Kendrick.  ","L","R","L","LAD","CHC","X",7,"fly_ball",2,2,2016,"0.9833333333333333","1.11733333333333333333","1.2520","1.4670","null",519203,450314,1,7,"Top","90.67","98.86",,,434563,,"161020_200239","-2.8520","-120.5480","-5.7810","11.6270","26.2220","-22.7950","3.5100","1.6500","260","80.4","44.8","81.6770","2237","5.8280",487628,501593,434563,408236,571771,457759,608369,435062,592626,624577,"54.6720","0.027","0.025","0.00",1,0,0,3,55,"6","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2016-10-20","91.5","-2.0197","5.8411","Javier Baez",595879,628317,"strikeout","called_strike",,,,,12,"Javier Baez called out on strikes.  ","L","R","R","LAD","CHC","S",2,"null",2,2,2016,"-1.00953333333333333333","1.5201000000000000","1.0910","2.8050","null",519203,450314,1,1,"Top","null","null",,,434563,,"161020_172224","9.2790","-132.8710","-4.3310","-11.2080","30.4210","-15.7620","3.4500","1.6200","null","null","null","90.9620","2399","6.3130",487628,628317,434563,408236,571771,457759,608369,435062,592626,624577,"54.1868","null","null","0.00",1,0,0,"null",5,"5","4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard"
