"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2016-10-01","97.5","-2.2306","6.3937","Javier Baez",595879,502028,"grounded_into_double_play","hit_into_play",,,,,4,"Javier Baez grounds into a double play, pitcher Blake Wood to second baseman Ivan De Jesus Jr.   to first baseman Joey Votto.   Jason Heyward out at 2nd.  ","R","R","R","CIN","CHC","X",1,"ground_ball",1,2,2016,"-0.85645000000000000000","1.13740000000000000000","-0.3200","2.6500","null","null",518792,1,6,"Top","126.41","180.88",,,541608,,"161001_181524","7.4500","-141.5700","-6.7900","-10.7200","29.0400","-18.6900","3.5300","1.6600","10","86.3","-14.0","96.4590","2319","5.8400",449269,502028,541608,458015,474443,553993,606299,594807,454975,592731,"54.6586","0.120","0.113","0.00",1,0,0,2,50,"4","4-Seam Fastball",5,3,3,5,3,5,3,5,"Standard","Standard"
"FF","2016-09-27","92.2","null","null","Javier Baez",595879,455374,"single","hit_into_play_no_out",,,,,14,"Javier Baez singles on a line drive to center fielder Andrew McCutchen.  ","R","R","L","PIT","CHC","X",8,"line_drive",3,2,2016,"0.77875833333333333333","1.6648666666666667","0.6230","1.3530","null","null","null",1,8,"Top","135.92","91.04",,,"null",,"160927_214655","-5.1620","-133.9860","-8.8440","11.8770","28.8850","-13.5160","3.5100","1.6500","null","90.0","15.0","null","null","null",449214,455374,"null","null","null","null","null","null","null","null","null","0.868","0.847","0.90",1,1,0,4,63,"7","4-Seam Fastball",1,4,4,1,4,1,4,1,"null","null"
"FF","2016-09-27","90.7","null","null","Javier Baez",595879,285064,"hit_by_pitch","hit_by_pitch",,,,,11,"Javier Baez hit by pitch.  ","R","R","R","PIT","CHC","B","null","null",3,2,2016,"-0.92603333333333333333","0.96396666666666666667","-1.6530","3.6190","null","null","null",1,2,"Top","null","null",,,"null",,"160927_193436","1.1800","-132.1170","-1.3530","-10.1510","27.0660","-22.6340","3.5100","1.6500","null","null","null","null","null","null",449214,285064,"null","null","null","null","null","null","null","null","null","null","null","0.70",1,0,0,"null",11,"6","4-Seam Fastball",0,0,0,0,0,0,0,0,"null","null"
"SI","2016-09-26","94.0","null","null","Javier Baez",595879,641771,"field_out","hit_into_play",,,,,6,"Javier Baez grounds out sharply, pitcher Chad Kuhl to shortstop Jordy Mercer to first baseman John Jaso.  ","R","R","R","PIT","CHC","X",1,"ground_ball",3,2,2016,"-1.3198750000000000","1.02130000000000000000","0.3900","2.6500","null","null","null",1,2,"Top","128.42","180.20",,,"null",,"160926_193751","9.2400","-136.4100","-4.9900","-16.2000","28.3200","-21.2400","3.5100","1.6500","null","84.0","-13.0","null","null","null",449202,641771,"null","null","null","null","null","null","null","null","null","0.107","0.091","0.00",1,0,0,2,12,"12","Sinker",0,1,1,0,1,0,1,0,"null","null"
"CU","2016-09-20","79.8","-3.0506","5.3584","Javier Baez",595879,595001,"field_out","hit_into_play",,,,,9,"Javier Baez flies out to right fielder Scott Schebler.  ","R","R","R","CHC","CIN","X",9,"fly_ball",1,2,2016,"0.78432500000000000000","-0.61843333333333333333","0.4490","1.9550","null","null","null",1,2,"Bot","180.71","103.09",,,541608,,"160920_193644","4.9840","-116.0920","0.3050","9.0410","19.9620","-39.9550","3.5300","1.6600","282","92.3","46.3","79.0200","2916","5.6500",449120,595001,541608,458015,408252,573113,606299,594807,534627,594988,"54.8494","0.011","0.009","0.00",1,0,0,3,13,"4","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"KC","2016-09-16","81.9","-1.9229","5.8674","Javier Baez",595879,608349,"field_out","hit_into_play",,,,,14,"Javier Baez pops out to first baseman Chris Carter.  ","R","R","R","CHC","MIL","X",3,"popup",2,2,2016,"0.63263333333333333333","-0.85923333333333333333","0.5750","1.1100","null","null","null",1,8,"Bot","159.79","167.80",,,572180,,"160916_155053","3.2450","-119.1580","-2.3920","7.7490","26.3250","-42.5580","3.5400","1.6600","114","70.6","69.6","81.3010","2523","6.3030",449066,608349,572180,474892,571697,592680,606115,460075,570267,541650,"54.1959","0.002","0.000","0.00",1,0,0,3,63,"5","Knuckle Curve",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2016-09-14","98.1","-1.1855","5.4541","Javier Baez",595879,593372,"strikeout","called_strike",,,,,3,"Javier Baez called out on strikes.  ","R","R","R","STL","CHC","S",2,"null",0,2,2016,"-1.3463166666666667","1.3495333333333333","0.5920","3.0260","null",450314,518792,1,6,"Top","null","null",,,425877,,"160914_141439","7.6670","-142.6740","-3.1770","-17.7790","36.9170","-15.7900","3.5800","1.7000","null","null","null","95.9830","2107","5.6960",449037,593372,425877,572761,543939,576397,649557,461235,545341,572039,"54.8064","null","null","0.00",1,0,0,"null",42,"3","4-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"FF","2016-09-11","91.4","-0.5960","6.2696","Javier Baez",595879,571666,"single","hit_into_play_score",,,,,12,"Javier Baez singles on a ground ball to center fielder Jake Marisnick.   Ben Zobrist scores.    Addison Russell to 2nd.  ","R","R","R","HOU","CHC","X",8,"ground_ball",0,2,2016,"-0.28725833333333333333","1.9730333333333333","0.3180","3.6330","null",450314,608365,1,3,"Top","118.27","106.14",,,594828,,"160911_200226","2.1270","-133.0390","-4.1710","-1.9930","31.8150","-10.2050","3.4700","1.6600","42","97.0","-1.3","91.6690","2266","6.7060",448993,571666,594828,503556,514888,493329,621043,458675,545350,543807,"53.7921","0.348","0.324","0.90",1,1,0,2,23,"3","4-Seam Fastball",0,4,4,0,4,0,4,0,"Standard","Standard"
"SL","2016-09-03","77.4","-2.6944","4.6047","Javier Baez",595879,489265,"field_out","hit_into_play",,,,,14,"Giants challenged (play at 1st), call on the field was overturned: Javier Baez grounds out softly, first baseman Brandon Belt to pitcher Sergio Romo.  ","R","R","R","CHC","SF","X",3,"ground_ball",1,2,2016,"1.0751833333333333","0.65436666666666666667","0.7730","0.7930","null","null","null",1,8,"Bot","150.25","160.56",,,457763,,"160903_160942","4.7030","-112.6920","-2.2790","11.1420","20.4250","-28.0200","3.5200","1.6600","18","62.9","-1.5","77.5950","2967","6.4530",448890,489265,457763,474832,605412,456488,543063,434636,452655,452254,"54.0477","0.082","0.087","0.00",1,0,0,2,64,"4","Slider",2,3,2,3,3,2,2,3,"Standard","Standard"
"SI","2016-08-29","92.6","1.3577","5.6683","Javier Baez",595879,502046,"triple","hit_into_play_no_out",,,,,14,"Javier Baez triples (1) on a sharp line drive to right fielder Gregory Polanco.  ","R","R","L","CHC","PIT","X",9,"line_drive",0,2,2016,"0.64933333333333333333","1.5702666666666667","1.0000","2.5430","null","null","null",1,12,"Bot","173.09","72.57",,,465041,,"160829_233538","-3.1970","-134.7470","-5.7690","10.3650","27.3600","-14.3990","3.5000","1.6600","313","106.6","11.3","92.4150","2229","6.0900",448824,502046,465041,446481,543281,501896,474568,516782,457705,570256,"54.4091","0.891","0.927","1.60",1,1,2,4,104,"4","Sinker",6,6,6,6,6,6,6,6,"Standard","Standard"
