"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-23","92.2","-2.0981","5.6923","Danny Jansen",643376,605276,"field_out","hit_into_play",,,,,6,"Danny Jansen lines out to shortstop Jonathan Villar.  ","R","R","R","TOR","BAL","X",6,"line_drive",2,2,2019,"-0.2581","1.2745","0.4850","2.6313","null",605233,592273,2,12,"Bot","105.75","145.49",,,600474,,"190924_034051","7.1349","-134.1817","-4.7573","-4.5906","27.4555","-15.9452","3.3600","1.6200","190","95.5","8.8","92.5280","2153","6.3570",566939,605276,600474,448801,593643,547004,542340,592859,669720,623993,"54.1429","0.630","0.596","0.00",1,0,0,4,108,"7","4-Seam Fastball",10,10,10,10,10,10,10,10,"Standard","Standard"
"SI","2019-09-23","96.7","-2.7681","4.7746","Danny Jansen",643376,612434,"field_out","hit_into_play",,,,,6,"Danny Jansen lines out to center fielder Austin Hays.  ","R","R","R","TOR","BAL","X",8,"line_drive",3,2,2019,"-1.1008","0.7379","0.3335","2.1136","null",642133,606192,2,6,"Bot","125.40","78.63",,,642082,,"190924_011653","10.7684","-140.4451","-3.1730","-17.0596","33.1459","-21.9158","3.1700","1.5200","286","82.8","21.3","96.4590","2342","6.3520",566939,612434,642082,448801,593643,547004,542340,592859,669720,623993,"54.1473","0.628","0.598","0.00",1,0,0,4,56,"6","Sinker",6,7,6,7,7,6,6,7,"Standard","Standard"
"SL","2019-08-12","84.7","-1.4702","6.0962","Danny Jansen",643376,642558,"force_out","hit_into_play",,,,,14,"Danny Jansen grounds into a force out, third baseman Isiah Kiner-Falefa to second baseman Rougned Odor.   Derek Fisher to 3rd.    Brandon Drury out at 2nd.    Danny Jansen to 1st.  ","R","R","R","TOR","TEX","X",5,"ground_ball",1,2,2019,"0.1003","0.1016","1.3667","1.7500","null",605233,592273,1,2,"Bot","108.48","164.31",,,624431,,"190812_234921","6.3710","-123.1064","-3.9454","-0.2909","24.9831","-30.6019","3.3600","1.6300","12","68.3","-8.7","83.9210","2080","5.8920",566922,642558,624431,523253,596059,643396,462101,641432,542454,608577,"54.6070","0.078","0.073","0.00",1,0,0,2,17,"5","Slider",1,1,1,1,1,1,1,1,"Standard","Standard"
"SI","2019-08-10","90.9","2.7312","5.4201","Danny Jansen",643376,605501,"walk","ball",,,,,14,"Danny Jansen walks.   Derek Fisher to 3rd.    Teoscar Hernandez to 2nd.  ","R","R","L","TOR","NYY","B","null","null",3,2,2019,"1.5377","0.2846","1.8520","1.9561","null",605233,606192,2,2,"Bot","null","null",,,596142,,"190810_195151","-5.3900","-132.1347","-3.2797","18.8401","30.6260","-28.4186","3.1452","1.5884","null","null","null","89.7820","1991","5.8590",566920,605501,596142,645801,518934,570482,544369,643565,458731,592450,"54.6400","null","null","0.70",1,0,0,"null",15,"7","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2019-08-06","86.8","-1.6629","5.5746","Danny Jansen",643376,641941,"double","hit_into_play_no_out",,,,,5,"Danny Jansen doubles (12) on a sharp line drive to left fielder Austin Meadows.   Brandon Drury to 3rd.  ","R","R","R","TB","TOR","X",7,"line_drive",1,2,2019,"0.2498","0.4631","0.2654","2.2216","null","null",592273,1,9,"Top","44.93","119.21",,,518595,,"190807_020850","4.1184","-126.4056","-2.8218","1.8800","25.0193","-26.8209","3.3400","1.6300","267","103.8","12.9","87.2740","2269","6.4810",566721,641941,518595,670712,519299,622110,642715,640457,595281,541645,"54.0180","0.825","0.864","1.25",1,1,1,4,73,"4","Cutter",6,6,6,6,6,6,6,6,"Infield shift","Standard"
"FF","2019-08-04","84.8","-0.9219","5.4695","Danny Jansen",643376,664045,"field_out","hit_into_play",,,,,5,"Danny Jansen pops out to first baseman Chris Davis on the infield fly rule.  ","R","R","R","BAL","TOR","X",3,"popup",2,2,2019,"-0.2459","1.3754","-0.0509","2.4205","null",606192,592273,0,2,"Top","132.17","181.68",,,642082,,"190804_174419","2.5393","-123.6311","-3.6468","-3.0006","22.0155","-17.4601","3.1788","1.5025","null","80.0","69.0","85.5460","1944","6.4290",564984,664045,642082,448801,593643,607054,542340,623993,592859,641820,"54.0709","0.002","0.000","0.00",1,0,0,3,14,"6","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Standard"
"CH","2019-07-18","85.5","3.3698","5.0885","Danny Jansen",643376,519242,"force_out","hit_into_play",,,,,6,"Danny Jansen grounds into a force out, shortstop Xander Bogaerts to second baseman Michael Chavis.   Justin Smoak out at 2nd.    Danny Jansen to 1st.  ","R","R","L","BOS","TOR","X",6,"ground_ball",1,2,2019,"1.4108","-0.3603","0.5817","2.1729","null","null",475253,0,2,"Top","98.13","147.14",,,506702,,"190718_173055","-9.3713","-124.1713","0.1900","16.4452","26.1555","-36.1422","3.2101","1.5443","62","78.4","3.8","85.0540","2051","6.2260",565075,519242,506702,607752,656308,646240,593428,643217,605141,502110,"54.2732","0.242","0.211","0.00",1,0,0,2,10,"5","Changeup",0,0,0,0,0,0,0,0,"Standard","Strategic"
"FF","2019-07-17","97.5","-1.6129","6.3097","Danny Jansen",643376,598264,"strikeout","foul_tip",,,,,2,"Danny Jansen strikes out on a foul tip.  ","R","R","R","BOS","TOR","S",2,"null",1,2,2019,"-1.0171","1.3131","0.2170","2.9258",624415,475253,606192,1,7,"Top","null","null",,,543877,,"190718_020025","7.3386","-141.7610","-6.6978","-15.5381","31.1112","-12.9118","2.9865","1.4927","null","null","null","98.3390","2353","6.7150",565074,598264,543877,656308,571788,646240,593428,643217,598265,605141,"53.7842","null","null","0.00",1,0,0,"null",55,"4","4-Seam Fastball",4,2,2,4,2,4,2,4,"Standard","Strategic"
"FF","2019-06-29","92.0","-2.0546","4.9971","Danny Jansen",643376,605130,"home_run","hit_into_play_score",,,,,8,"Danny Jansen homers (4) on a fly ball to left center field.   Randal Grichuk scores.  ","R","R","R","TOR","KC","X","null","fly_ball",3,2,2019,"-0.0072","0.9686","0.1722","2.1409","null","null",545341,1,9,"Bot","72.75","32.87",,,455117,,"190629_233046","5.7488","-133.9979","-3.6211","-1.3210","28.7249","-19.6232","3.3600","1.6200","402","99.9","25.9","93.3700","2396","7.0310",566903,605130,455117,446263,670032,641531,600858,460086,571740,593160,"53.4686","0.698","1.247","2.00",1,0,3,6,76,"6","4-Seam Fastball",5,5,5,5,5,5,5,5,"Standard","Standard"
"CH","2019-04-21","84.1","1.4866","6.3019","Danny Jansen",643376,474463,"walk","ball",,,,,12,"Danny Jansen walks.   Rowdy Tellez to 2nd.  ","R","R","L","OAK","TOR","B","null","null",3,2,2019,"1.1769","0.2698","1.8402","3.2282","null","null",642133,0,3,"Top","null","null",,,460026,,"190421_204233","-1.4566","-122.4594","-1.2657","11.9211","24.1892","-29.4981","3.3513","1.6218","null","null","null","83.4840","1463","5.8450",566098,474463,460026,434778,595777,656305,543760,543257,657656,572039,"54.6542","null","null","0.70",1,0,0,"null",16,"7","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-04-09","90.0","3.4733","5.5892","Danny Jansen",643376,519242,"single","hit_into_play_no_out",,,,,12,"Danny Jansen singles on a ground ball to right fielder Mookie Betts.   Randal Grichuk to 2nd.  ","R","R","L","BOS","TOR","X",9,"ground_ball",0,2,2019,"1.1965","0.8177","1.1220","3.3633","null","null",545341,0,4,"Top","190.08","104.98",,,543877,,"190409_190832","-8.2732","-130.8841","-1.3031","15.2384","24.9011","-22.7985","3.4500","1.6600","16","97.8","-9.5","89.7760","1916","5.9650",565027,519242,543877,519048,456030,646240,593428,643217,598265,605141,"54.5341","0.265","0.215","0.90",1,1,0,2,25,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"KC","2019-03-31","82.1","1.3395","6.2003","Danny Jansen",643376,519043,"single","hit_into_play_no_out",,,,,9,"Danny Jansen singles on a line drive to right fielder Nicholas Castellanos.   Richard Urena to 3rd.  ","R","R","L","TOR","DET","X",9,"line_drive",0,2,2019,"-0.6618","-1.0910","0.4643","2.0558","null","null",620446,2,6,"Bot","194.14","110.57",,,606988,,"190331_183150","-0.7182","-119.4667","-0.7142","-6.0358","24.8070","-42.4824","3.4670","1.5890","269","96.9","15.1","81.1490","2425","5.8200",566867,519043,606988,543308,592348,600869,474568,621514,543484,592206,"54.6799","0.748","0.731","0.90",1,1,0,4,40,"4","Knuckle Curve",0,0,0,0,0,0,0,0,"Standard","Standard"
