"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2019-09-27","87.3","-1.6033","5.3692","Dallas Keuchel",572971,573186,"sac_bunt","hit_into_play",,,,,9,"Dallas Keuchel out on a sacrifice bunt, pitcher Marcus Stroman to first baseman Pete Alonso.   Billy Hamilton to 3rd.  ","R","L","R","NYM","ATL","X",1,"ground_ball",2,2,2019,"-0.0110","0.5832","0.3771","2.1007","null",571740,"null",1,4,"Top","127.09","184.22",,,621512,,"190928_003304","4.7116","-127.0314","-2.8806","-1.0042","23.9410","-25.7174","3.3850","1.6400","null","41.0","-39.0","86.2540","2558","5.4430",566068,573186,621512,624413,605412,453943,642708,605204,501571,607043,"55.0569","0.142","0.135","0.00",0,0,0,1,35,"5","Cutter",2,2,2,2,2,2,2,2,"Strategic","Strategic"
"FF","2019-09-22","89.6","1.1688","6.3074","Logan Webb",657277,572971,"sac_bunt","hit_into_play",,,,,11,"Logan Webb out on a sacrifice bunt, pitcher Dallas Keuchel to second baseman Adeiny Hechavarria.   Aramis Garcia to 2nd.  ","R","R","L","ATL","SF","X",1,"ground_ball",1,2,2019,"0.0813","1.1470","-0.2668","3.8383","null","null",605244,0,3,"Top","133.20","184.55",,,452095,,"190922_175228","-3.6693","-130.5268","-2.5234","1.5798","23.6395","-19.0252","3.5800","1.7300","null","41.0","-39.0","89.1140","2134","5.6160",567247,572971,452095,518692,588751,663586,621020,455976,571740,459964,"54.8836","0.142","0.135","0.00",0,0,0,1,15,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Strategic"
"FF","2019-09-14","89.4","-2.6880","4.9165","Madison Bumgarner",518516,667498,"sac_bunt","hit_into_play",,,,,2,"Madison Bumgarner out on a sacrifice bunt, first baseman Martin Prado to second baseman Isan Diaz.   Mauricio Dubon to 2nd.  ","R","R","R","SF","MIA","X",3,"ground_ball",2,2,2019,"-0.8181","1.1503","-0.1062","3.2779","null","null",643289,0,3,"Bot","138.26","189.81",,,595751,,"190915_014810","7.9885","-129.9451","-0.4661","-10.6780","23.8400","-19.3434","3.1863","1.6000","22","33.0","-0.2","89.1480","2076","5.9180",566544,667498,595751,445988,656371,516770,500743,621573,621446,623912,"54.5814","0.128","0.124","0.00",0,0,0,1,18,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"SL","2019-08-21","84.9","-2.7830","4.9547","Matt Strahm",621381,622491,"sac_bunt","hit_into_play",,,,,9,"Matt Strahm out on a sacrifice bunt, pitcher Luis Castillo to second baseman Freddy Galvis.   Ty France to 2nd.  ","R","R","R","CIN","SD","X",1,"ground_ball",2,2,2019,"-0.0178","0.1014","0.3394","1.9094","null","null",664034,1,3,"Top","131.43","192.77",,,571466,,"190821_172700","7.1410","-123.3617","-1.0217","-1.4601","22.2213","-31.2611","3.4900","1.6010","null","41.0","-39.0","82.9970","2428","4.8940",565287,622491,571466,642165,520471,553993,578428,640447,669222,606157,"55.6054","0.142","0.135","0.00",0,0,0,1,18,"5","Slider",0,0,0,0,0,0,0,0,"Strategic","Strategic"
"FC","2019-08-14","84.5","-1.5128","5.6271","Stephen Strasburg",544931,545333,"sac_bunt","hit_into_play",,,,,6,"Stephen Strasburg out on a sacrifice bunt, catcher Tucker Barnhart to first baseman Joey Votto.   Victor Robles to 3rd.  ","R","R","R","WSH","CIN","X",2,"ground_ball",2,2,2019,"0.5857","-0.0578","0.3930","2.3629","null",645302,"null",0,3,"Bot","129.68","195.80",,,571466,,"190814_210003","3.2716","-123.1293","-1.2250","5.3121","21.2800","-32.7582","3.4300","1.6600","null","41.0","-39.0","84.1500","null","5.6950",565954,545333,571466,458015,520471,553993,578428,642165,608385,606157,"54.8044","0.142","0.135","0.00",0,0,0,1,20,"5","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-08-04","94.4","-1.1930","6.2127","Yu Darvish",506433,605288,"sac_bunt","hit_into_play",,,,,2,"Yu Darvish out on a sacrifice bunt, catcher Yasmani Grandal to second baseman Mike Moustakas.   David Bote to 2nd.  ","R","R","R","CHC","MIL","X",2,"ground_ball",2,2,2019,"-0.4763","1.2055","0.0535","3.1437","null","null",623520,1,2,"Bot","129.00","194.85",,,518735,,"190804_190619","4.3110","-137.4043","-5.0085","-6.9732","29.3377","-15.9909","3.0258","1.2492","null","41.0","-39.0","94.7100","2081","6.3730",565180,605288,518735,519346,519058,543768,606115,663757,592325,592885,"54.1260","0.142","0.135","0.00",0,0,0,1,19,"7","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Strategic"
"FC","2019-07-30","83.2","-1.4328","6.1119","Yu Darvish",506433,425794,"sac_bunt","hit_into_play",,,,,8,"Yu Darvish out on a sacrifice bunt, pitcher Adam Wainwright to second baseman Kolten Wong.   Ian Happ to 2nd.  ","R","R","R","STL","CHC","X",1,"ground_ball",2,2,2019,"0.5752","0.1035","0.0368","2.0283","null","null",664023,1,3,"Top","128.10","184.22",,,446308,,"190731_005319","2.2526","-121.3030","-3.2269","5.3182","19.9060","-30.8134","3.4896","1.7705","null","41.0","-39.0","83.5600","2339","6.0640",566619,425794,446308,502671,543939,669242,657557,641933,451594,500874,"54.4358","0.142","0.135","0.00",0,0,0,1,16,"5","Cutter",0,0,0,0,0,0,0,0,"Strategic","Standard"
"FF","2019-07-28","92.1","2.0474","6.5336","Elieser Hernandez",622694,592662,"sac_bunt","hit_into_play",,,,,12,"Elieser Hernandez out on a sacrifice bunt, first baseman Jake Lamb to second baseman Ketel Marte.   Bryan Holaday to 2nd.  ","R","R","L","MIA","ARI","X",3,"ground_ball",1,2,2019,"0.6906","1.6339","0.4757","3.3425",445988,"null",592407,1,2,"Bot","138.77","189.74",,,488671,,"190728_180401","-5.4815","-133.9354","-5.8287","9.4428","27.0819","-11.4808","2.8450","1.3230","null","41.0","-39.0","92.2960","2154","6.2980",567411,592662,488671,571875,606466,500871,605113,444482,502481,430945,"54.2014","0.142","0.135","0.00",0,0,0,1,19,"4","4-Seam Fastball",1,1,1,1,1,1,1,1,"Strategic","Strategic"
"FF","2019-07-27","96.5","-2.0209","5.9226","Orlando Arcia",606115,592858,"sac_bunt","hit_into_play",,,,,2,"Orlando Arcia out on a sacrifice bunt, first baseman Anthony Rizzo to second baseman Robel Garcia.   Yasmani Grandal to 2nd.  ","R","R","R","MIL","CHC","X",3,"ground_ball",0,2,2019,"-0.2461","1.4422","-0.0424","2.8594","null","null",518735,0,9,"Bot","140.50","183.34",,,575929,,"190728_021350","5.8188","-140.4621","-5.8953","-4.4690","28.9562","-11.9998","3.3800","1.6200","null","41.0","-39.0","96.8420","2399","6.2680",567607,592858,575929,519203,596825,592178,595879,664023,546991,518792,"54.2315","0.142","0.135","0.00",0,0,0,1,69,"3","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2019-07-16","76.8","1.6590","6.0577","Jordan Yamamoto",657141,663531,"sac_bunt","hit_into_play",,,,,7,"Jordan Yamamoto out on a sacrifice bunt, first baseman Eric Hosmer to second baseman Ian Kinsler.   Cesar Puello to 3rd.    Yadiel Rivera to 2nd.  ","R","R","L","MIA","SD","X",3,"ground_ball",1,2,2019,"-0.7083","-0.9787","-0.4266","1.4335","null",527049,592680,0,2,"Bot","128.62","196.12",,,642336,,"190716_235626","-3.1187","-111.5458","-0.9977","-5.0852","21.6191","-40.1261","3.2200","1.5100","null","41.0","-39.0","75.2060","2624","5.4000",567406,663531,642336,543333,435079,592518,665487,592669,622534,647304,"55.0996","0.142","0.135","0.00",0,0,0,1,20,"4","Curveball",3,3,3,3,3,3,3,3,"Strategic","Standard"
