"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2018","Jacob deGrom","Mets","10","9","0","32","32","217.0","11.16","1.91","0.41",".281","82.0 %","46.4 %","6.3 %","1.70","1.99","2.60","9.0","10954"
"2017","Chris Sale","Red Sox","17","8","0","32","32","214.1","12.93","1.81","1.01",".301","78.4 %","38.7 %","12.1 %","2.90","2.45","2.65","7.6","10603"
"2018","Max Scherzer","Nationals","18","7","0","33","33","220.2","12.24","2.08","0.94",".265","81.3 %","34.3 %","9.7 %","2.53","2.65","3.06","7.5","3137"
"2019","Gerrit Cole","Astros","20","5","0","33","33","212.1","13.82","2.03","1.23",".275","83.3 %","40.3 %","16.9 %","2.50","2.64","2.48","7.4","13125"
"2017","Corey Kluber","Indians","18","4","0","29","29","203.2","11.71","1.59","0.93",".267","82.6 %","44.5 %","13.5 %","2.25","2.50","2.52","7.2","2429"
"2019","Jacob deGrom","Mets","11","8","0","32","32","204.0","11.25","1.94","0.84",".282","81.8 %","44.4 %","11.2 %","2.43","2.67","3.11","7.0","10954"
"2019","Lance Lynn","Rangers","16","11","0","33","33","208.1","10.63","2.55","0.91",".322","74.4 %","40.3 %","9.9 %","3.67","3.13","3.85","6.8","2520"
"2018","Justin Verlander","Astros","16","9","0","34","34","214.0","12.20","1.56","1.18",".272","85.3 %","29.1 %","11.1 %","2.52","2.78","3.03","6.6","8700"
"2019","Max Scherzer","Nationals","11","7","0","27","27","172.1","12.69","1.72","0.94",".321","78.7 %","40.8 %","11.6 %","2.92","2.45","2.88","6.5","3137"
"2017","Max Scherzer","Nationals","16","6","0","31","31","200.2","12.02","2.47","0.99",".245","80.7 %","36.5 %","10.8 %","2.51","2.90","3.28","6.4","3137"
"2019","Justin Verlander","Astros","21","6","0","34","34","223.0","12.11","1.70","1.45",".218","88.4 %","35.9 %","16.0 %","2.58","3.27","3.18","6.4","8700"
"2019","Charlie Morton","Rays","16","6","0","33","33","194.2","11.10","2.64","0.69",".298","75.3 %","48.2 %","10.4 %","3.05","2.81","3.28","6.1","4676"
"2018","Gerrit Cole","Astros","15","5","0","32","32","200.1","12.40","2.88","0.85",".286","77.9 %","36.0 %","10.0 %","2.88","2.70","3.04","6.0","13125"
"2017","Stephen Strasburg","Nationals","15","4","0","28","28","175.1","10.47","2.41","0.67",".274","77.9 %","46.8 %","8.7 %","2.52","2.72","3.27","5.9","10131"
"2018","Patrick Corbin","Diamondbacks","11","7","0","33","33","200.0","11.07","2.16","0.68",".302","74.7 %","48.5 %","11.1 %","3.15","2.47","2.61","5.9","9323"
"2018","Trevor Bauer","Indians","12","6","1","28","27","175.1","11.34","2.93","0.46",".297","79.5 %","44.5 %","6.2 %","2.21","2.44","3.14","5.8","12703"
"2019","Stephen Strasburg","Nationals","18","6","0","33","33","209.0","10.81","2.41","1.03",".274","76.5 %","51.1 %","16.2 %","3.32","3.25","3.17","5.7","10131"
"2019","Shane Bieber","Indians","15","8","0","34","33","214.1","10.88","1.68","1.30",".296","77.4 %","43.9 %","16.1 %","3.28","3.32","3.23","5.6","19427"
"2017","Luis Severino","Yankees","14","6","0","31","31","193.1","10.71","2.37","0.98",".272","75.5 %","50.6 %","14.0 %","2.98","3.07","3.04","5.6","15890"
"2018","Corey Kluber","Indians","20","7","0","33","33","215.0","9.29","1.42","1.05",".276","77.9 %","44.4 %","13.1 %","2.89","3.12","3.08","5.5","2429"
"2018","Aaron Nola","Phillies","17","6","0","33","33","212.1","9.49","2.46","0.72",".251","82.5 %","50.6 %","10.6 %","2.37","3.01","3.21","5.4","16149"
"2019","Zack Greinke","- - -","18","5","0","33","33","208.2","8.07","1.29","0.91",".271","75.7 %","45.2 %","10.9 %","2.93","3.22","3.74","5.4","1943"
"2017","Carlos Carrasco","Indians","18","6","0","32","32","200.0","10.17","2.07","0.95",".307","78.2 %","45.2 %","12.4 %","3.29","3.10","3.24","5.4","6632"
"2018","Luis Severino","Yankees","19","8","0","32","32","191.1","10.35","2.16","0.89",".314","75.0 %","41.1 %","11.4 %","3.39","2.95","3.10","5.4","15890"
"2018","Carlos Carrasco","Indians","17","10","0","32","30","192.0","10.83","2.02","0.98",".315","74.8 %","46.8 %","13.1 %","3.38","2.94","2.90","5.2","6632"
