"Name","Team","IP","FA%","FC%","FS%","SI%","CH%","SL%","CU%","CS%","KN%","SB%","XX%","playerid"
"Antonio Senzatela","Rockies","349.2","66.7 %","","","","6.0 %","20.4 %","6.8 %","","","","0.1 %","15488"
"Sean Newcomb","Braves","332.1","63.2 %","","","0.0 %","14.1 %","5.0 %","17.7 %","","","","0.0 %","16943"
"Ian Kennedy","Royals","337.0","61.5 %","12.6 %","","0.2 %","8.8 %","","16.9 %","","","","0.0 %","6986"
"Kevin Gausman","- - -","472.2","60.3 %","","27.0 %","0.0 %","0.6 %","12.0 %","0.0 %","","","","0.0 %","14107"
"Vince Velasquez","Phillies","336.0","59.9 %","0.0 %","","6.1 %","4.8 %","15.9 %","13.3 %","","","","","11189"
"Reynaldo Lopez","White Sox","420.1","59.6 %","0.9 %","","0.2 %","16.2 %","16.5 %","6.7 %","","","","","16400"
"Ty Blach","- - -","309.1","58.8 %","","","","24.9 %","5.4 %","10.9 %","","","","","14361"
"Sean Manaea","Athletics","349.0","57.8 %","","","","26.6 %","15.6 %","","","","","","15873"
"Justin Verlander","- - -","643.0","56.6 %","0.2 %","","0.0 %","3.2 %","24.2 %","15.9 %","","","","0.0 %","8700"
"Nick Pivetta","Phillies","390.2","56.5 %","0.1 %","","3.1 %","2.8 %","14.8 %","22.7 %","","","","0.0 %","15454"
"Matt Harvey","- - -","307.1","56.2 %","","","0.8 %","11.2 %","24.2 %","7.6 %","","","","0.0 %","11713"
"Rich Hill","Dodgers","327.0","55.4 %","1.4 %","","0.6 %","0.7 %","1.2 %","40.6 %","0.1 %","","","","4806"
"James Paxton","- - -","447.0","55.2 %","15.1 %","","7.8 %","1.5 %","","20.5 %","","","","0.0 %","11828"
"Zack Wheeler","Mets","464.0","54.1 %","","2.9 %","5.1 %","7.1 %","19.9 %","10.8 %","","","","0.0 %","10310"
"Mike Clevinger","Indians","447.2","52.6 %","","","","13.8 %","21.8 %","11.8 %","","","","","12808"
"Jon Gray","Rockies","432.2","52.6 %","","","0.1 %","1.9 %","32.1 %","13.3 %","","","","","14916"
"Blake Snell","Rays","417.0","51.9 %","","","","20.1 %","9.9 %","18.1 %","","","","","13543"
"Marco Estrada","- - -","353.1","51.8 %","6.7 %","","","34.0 %","","7.5 %","","","","0.0 %","1118"
"Luis Severino","Yankees","396.2","51.1 %","0.0 %","","","13.6 %","35.2 %","","","","","0.0 %","15890"
"Trevor Williams","Pirates","466.2","50.9 %","","","18.4 %","12.7 %","17.0 %","1.0 %","","","","","16977"
"J.A. Happ","- - -","484.1","50.6 %","","","20.6 %","12.2 %","14.2 %","2.5 %","","","","0.0 %","7410"
"Robbie Ray","Diamondbacks","460.0","50.5 %","","0.0 %","4.8 %","0.3 %","25.8 %","18.6 %","","","","","11486"
"Shane Bieber","Indians","329.0","49.9 %","","","0.0 %","6.1 %","25.2 %","18.9 %","","","","","19427"
"Gerrit Cole","- - -","615.2","49.7 %","","","7.1 %","7.4 %","20.1 %","15.7 %","","","","0.0 %","13125"
"Michael Wacha","Cardinals","376.2","49.2 %","17.2 %","","0.7 %","21.0 %","0.0 %","11.9 %","","","","0.0 %","14078"
"Max Scherzer","Nationals","593.2","49.1 %","7.5 %","","","14.8 %","20.2 %","8.4 %","","","","0.0 %","3137"
"Walker Buehler","Dodgers","329.0","49.1 %","12.5 %","","11.2 %","1.8 %","12.5 %","13.1 %","","","","","19374"
"Dylan Bundy","Orioles","503.0","48.1 %","","","5.2 %","13.7 %","23.4 %","9.7 %","","","","","12917"
"Jose Urena","Marlins","428.1","47.7 %","0.0 %","","10.9 %","17.5 %","23.9 %","0.0 %","","","","0.0 %","11589"
"Homer Bailey","- - -","360.2","47.6 %","0.4 %","20.2 %","6.1 %","0.3 %","17.3 %","8.0 %","","","","0.1 %","8362"
"German Marquez","Rockies","532.0","47.5 %","","","9.9 %","5.2 %","15.0 %","22.4 %","","","","","15038"
"Drew Pomeranz","- - -","351.2","47.2 %","6.4 %","","8.8 %","1.7 %","","35.9 %","","","","0.1 %","11426"
"Lucas Giolito","White Sox","395.1","47.1 %","","","10.4 %","20.0 %","14.7 %","7.7 %","","","","","15474"
"Eduardo Rodriguez","Red Sox","470.1","47.1 %","13.8 %","","9.9 %","21.2 %","8.1 %","","","","","0.0 %","13164"
"Dan Straily","- - -","351.2","46.5 %","","","3.8 %","18.0 %","29.3 %","2.3 %","","","","","9460"
"Lance Lynn","- - -","551.1","46.2 %","13.0 %","","30.3 %","2.5 %","0.2 %","7.8 %","","","","","2520"
"Mike Minor","- - -","443.0","45.9 %","","","0.7 %","20.2 %","22.6 %","10.6 %","","","","0.0 %","10021"
"Clayton Kershaw","Dodgers","514.2","43.8 %","","","0.5 %","0.8 %","38.4 %","16.5 %","","","","0.0 %","2036"
"Jacob deGrom","Mets","622.1","43.3 %","","","9.0 %","14.6 %","26.3 %","6.8 %","","","","","10954"
"Jack Flaherty","Cardinals","368.2","43.2 %","","","13.4 %","3.4 %","28.2 %","11.7 %","","","","0.0 %","17479"
"Brad Keller","Royals","305.2","43.0 %","","","25.2 %","3.0 %","28.8 %","","","","","","15734"
"Chris Archer","- - -","469.0","42.7 %","","","5.4 %","9.7 %","41.2 %","1.0 %","","","","0.0 %","6345"
"Jordan Zimmermann","Tigers","403.1","42.7 %","","","6.7 %","4.7 %","29.2 %","16.8 %","","","","","4505"
