,pitchIdx,inning,frame,ab,abIdx,batter,stand,speed,pitchtype,px,pz,szTop,szBottom,des
315,315,1,top,1,1,Trea Turner,R,95.5,4-seam fb,0.63,3.79,3.18,1.59,Ball
316,316,1,top,1,2,Trea Turner,R,96.3,4-seam fb,0.52,2.5,3.34,1.63,"In play, no out"
317,317,1,top,2,1,Adam Eaton,L,84.0,knuckle-curve,0.88,1.27,2.95,1.38,Ball
318,318,1,top,2,2,Adam Eaton,L,96.4,4-seam fb,0.2,2.54,3.06,1.44,"In play, out(s)"
319,319,1,top,3,1,Anthony Rendon,R,88.5,slider,0.35,2.22,3.17,1.51,Foul
320,320,1,top,3,2,Anthony Rendon,R,96.6,4-seam fb,0.39,2.72,3.17,1.51,Foul
321,321,1,top,3,3,Anthony Rendon,R,97.6,4-seam fb,0.32,3.41,3.14,1.53,Foul Tip
322,322,1,top,4,1,Juan Soto,L,97.4,4-seam fb,-0.09,2.93,3.14,1.53,Swinging Strike
323,323,1,top,4,2,Juan Soto,L,98.1,4-seam fb,0.47,2.87,3.23,1.57,Called Strike
324,324,1,top,4,3,Juan Soto,L,99.1,4-seam fb,-0.61,2.73,3.45,1.58,Swinging Strike
325,325,1,bottom,5,1,George Springer,R,86.3,slider,-0.43,2.47,3.4,1.53,Called Strike
326,326,1,bottom,5,2,George Springer,R,97.0,4-seam fb,1.05,2.27,3.39,1.51,Ball
327,327,1,bottom,5,3,George Springer,R,96.2,4-seam fb,1.02,2.13,3.35,1.55,Ball
328,328,1,bottom,5,4,George Springer,R,96.7,4-seam fb,0.45,3.02,3.45,1.58,Foul
329,329,1,bottom,5,5,George Springer,R,86.6,slider,-0.48,2.2,3.45,1.58,Foul
330,330,1,bottom,5,6,George Springer,R,86.9,slider,1.4,0.62,3.45,1.49,Ball
331,331,1,bottom,5,7,George Springer,R,87.0,slider,-0.71,3.34,3.37,1.52,Ball
332,332,1,bottom,6,1,Jose Altuve,R,94.7,4-seam fb,0.26,2.99,2.9,1.34,"In play, no out"
333,333,1,bottom,7,1,Michael Brantley,L,96.6,4-seam fb,1.01,2.53,3.31,1.48,Swinging Strike
334,334,1,bottom,7,2,Michael Brantley,L,87.1,changeup,0.55,2.33,3.46,1.59,Called Strike
335,335,1,bottom,7,3,Michael Brantley,L,90.5,fb-cutter,0.78,1.34,3.24,1.54,Swinging Strike
336,336,1,bottom,8,1,Alex Bregman,R,85.8,slider,0.88,1.25,3.24,1.54,Swinging Strike
337,337,1,bottom,8,2,Alex Bregman,R,96.8,4-seam fb,0.57,2.08,3.35,1.6,Called Strike
338,338,1,bottom,8,3,Alex Bregman,R,0.0,none,0.0,0.0,3.36,1.7,Ball
339,339,1,bottom,8,4,Alex Bregman,R,85.0,slider,1.19,0.01,3.36,1.57,Ball In Dirt
340,340,1,bottom,8,5,Alex Bregman,R,85.9,slider,0.19,1.44,3.24,1.54,Swinging Strike
341,341,1,bottom,9,1,Yuli Gurriel,R,87.1,slider,0.72,1.34,3.36,1.59,Swinging Strike
342,342,1,bottom,9,2,Yuli Gurriel,R,96.5,4-seam fb,-0.4,2.35,3.36,1.59,Swinging Strike
343,343,1,bottom,9,3,Yuli Gurriel,R,87.0,slider,1.25,-0.4,3.41,1.66,Ball In Dirt
344,344,1,bottom,9,4,Yuli Gurriel,R,96.2,4-seam fb,-0.32,3.69,3.36,1.59,"In play, run(s)"
345,345,1,bottom,10,1,Carlos Correa,R,95.4,4-seam fb,-0.28,3.63,3.53,1.66,Ball
346,346,1,bottom,10,2,Carlos Correa,R,85.3,slider,-0.35,1.84,3.54,1.64,Called Strike
347,347,1,bottom,10,3,Carlos Correa,R,86.4,slider,0.69,1.36,3.59,1.63,Ball
348,348,1,bottom,10,4,Carlos Correa,R,95.4,4-seam fb,1.28,2.98,3.52,1.67,Swinging Strike
349,349,1,bottom,10,5,Carlos Correa,R,86.1,slider,0.75,0.97,3.48,1.58,Ball
350,350,1,bottom,10,6,Carlos Correa,R,97.7,4-seam fb,0.66,3.42,3.52,1.67,Foul Tip
351,351,2,top,11,1,Howie Kendrick,R,95.9,4-seam fb,-0.48,2.15,2.97,1.28,Called Strike
352,352,2,top,11,2,Howie Kendrick,R,95.9,4-seam fb,0.91,3.03,3.08,1.34,Ball
353,353,2,top,11,3,Howie Kendrick,R,87.8,slider,0.75,1.78,3.37,1.62,"In play, out(s)"
354,354,2,top,12,1,Asdrubal Cabrera,L,82.3,knuckle-curve,-0.94,3.04,3.52,1.64,Ball
355,355,2,top,12,2,Asdrubal Cabrera,L,96.2,4-seam fb,-1.0,2.6,3.37,1.62,Foul Tip
356,356,2,top,12,3,Asdrubal Cabrera,L,95.3,4-seam fb,-0.82,2.61,3.37,1.62,Swinging Strike
357,357,2,top,12,4,Asdrubal Cabrera,L,96.5,4-seam fb,-0.99,3.91,3.37,1.62,Foul
358,358,2,top,12,5,Asdrubal Cabrera,L,88.2,changeup,-1.06,2.55,3.37,1.62,"In play, out(s)"
359,359,2,top,13,1,Ryan Zimmerman,R,87.0,slider,-0.2,4.04,3.63,1.79,Ball
360,360,2,top,13,2,Ryan Zimmerman,R,96.5,4-seam fb,0.07,2.66,3.47,1.67,"In play, run(s)"
361,361,2,top,14,1,Kurt Suzuki,R,97.4,4-seam fb,1.36,1.17,3.04,1.4,Ball
362,362,2,top,14,2,Kurt Suzuki,R,97.2,4-seam fb,0.85,1.95,3.12,1.4,Ball
363,363,2,top,14,3,Kurt Suzuki,R,97.8,4-seam fb,0.61,2.98,3.18,1.44,Called Strike
364,364,2,top,14,4,Kurt Suzuki,R,89.9,slider,-0.41,3.46,3.05,1.42,Swinging Strike
