,pitchIdx,inning,frame,ab,abIdx,batter,stand,speed,pitchtype,px,pz,szTop,szBottom,des
352,352,1,top,1,1,George Springer,R,91.8,4-seam fb,0.02,2.47,3.37,1.53,Foul
353,353,1,top,1,2,George Springer,R,89.4,fb-splitter,-1.37,3.08,3.62,1.72,Ball
354,354,1,top,1,3,George Springer,R,83.3,slider,0.75,2.31,2.81,1.3,"In play, out(s)"
355,355,1,top,2,1,Jose Altuve,R,82.8,slider,0.73,1.96,3.05,1.45,Called Strike
356,356,1,top,2,2,Jose Altuve,R,91.0,4-seam fb,-1.22,4.44,3.08,1.39,Ball
357,357,1,top,2,3,Jose Altuve,R,83.8,slider,1.27,0.7,3.05,1.48,Ball
358,358,1,top,2,4,Jose Altuve,R,85.6,fb-splitter,-0.16,2.55,2.81,1.3,Foul
359,359,1,top,2,5,Jose Altuve,R,87.0,fb-splitter,0.97,1.26,3.32,1.51,"In play, out(s)"
360,360,1,top,3,1,Michael Brantley,L,81.0,slider,-0.32,1.76,3.32,1.52,Called Strike
361,361,1,top,3,2,Michael Brantley,L,85.8,fb-splitter,-0.24,0.39,3.32,1.48,Ball
362,362,1,top,3,3,Michael Brantley,L,81.6,slider,-0.25,2.97,3.41,1.52,Called Strike
363,363,1,top,3,4,Michael Brantley,L,90.6,4-seam fb,-0.27,4.05,3.35,1.52,Ball
364,364,1,top,3,5,Michael Brantley,L,86.5,fb-splitter,-1.29,1.99,3.35,1.52,Ball
365,365,1,top,3,6,Michael Brantley,L,85.7,fb-splitter,0.22,1.94,3.32,1.51,Foul
366,366,1,top,3,7,Michael Brantley,L,84.0,slider,0.89,1.96,3.32,1.51,Foul
367,367,1,top,3,8,Michael Brantley,L,83.8,slider,0.73,1.21,3.35,1.52,Ball
368,368,1,top,4,1,Alex Bregman,R,81.4,slider,0.92,2.3,3.13,1.45,Called Strike
369,369,1,top,4,2,Alex Bregman,R,89.5,4-seam fb,0.05,3.55,3.11,1.48,"In play, out(s)"
370,370,1,bottom,5,1,DJ LeMahieu,R,88.6,4-seam fb,1.03,2.25,3.53,1.75,Ball
