"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2017-10-01","97.4","-1.2769","6.0374","Eric Thames",519346,645261,"double","hit_into_play_no_out",,,,,7,"Eric Thames hits a ground-rule double (26) on a line drive down the left-field line.  ","R","L","R","STL","MIL","X","null","line_drive",1,1,2017,"-1.1839","0.4866","-0.3596","1.8226","null","null","null",1,8,"Top","35.31","131.90",,,608348,,"null","5.0174","-141.3650","-6.7711","-16.6317","32.0981","-24.5190","3.6022","1.3707","255","97.0","16.2","96.0420","2453","5.6370",492522,645261,608348,572228,591971,594824,622270,642423,664056,545341,"54.8620","0.542","0.603","1.25",1,1,1,4,53,"3","Sinker",1,4,4,1,4,1,4,1,"Strategic","Strategic"
"FF","2017-10-01","92.2","-2.2973","5.4154","Eric Thames",519346,656427,"field_out","hit_into_play",,,,,2,"Eric Thames flies out to center fielder Harrison Bader.  ","R","L","R","STL","MIL","X",8,"fly_ball",2,1,2017,"-0.4400","1.4766","0.2144","3.1604","null","null","null",1,5,"Top","104.91","49.93",,,608348,,"null","7.4126","-134.0568","-3.1930","-6.9414","27.8476","-13.5691","3.6022","1.3707","355","96.8","38.7","93.1130","2218","6.7800",492522,656427,608348,572228,591971,594824,622270,642423,664056,545341,"53.7193","0.121","0.251","0.00",1,0,0,3,33,"4","4-Seam Fastball",0,4,4,0,4,0,4,0,"Infield shift","Standard"
"FF","2017-10-01","94.8","-2.4100","5.2453","Eric Thames",519346,656427,"field_out","hit_into_play",,,,,6,"Eric Thames lines out to center fielder Harrison Bader.  ","R","L","R","STL","MIL","X",8,"line_drive",1,2,2017,"-0.4926","1.4722","0.4459","2.6539","null","null","null",1,3,"Top","137.06","51.43",,,608348,,"null","8.6665","-137.7284","-4.4825","-8.3018","30.2965","-12.2603","3.6024","1.3709","356","97.0","26.5","95.7550","2294","6.8980",492522,656427,608348,572228,591971,594824,622270,642423,664056,545341,"53.6010","0.454","0.725","0.00",1,0,0,5,18,"4","4-Seam Fastball",0,4,4,0,4,0,4,0,"Infield shift","Standard"
"FT","2017-10-01","92.4","-2.6020","5.1053","Eric Thames",519346,656427,"walk","blocked_ball",,,,,13,"Eric Thames walks.   Eric Sogard to 3rd.    Jonathan Villar to 2nd.  ","R","L","R","STL","MIL","B","null","null",3,2,2017,"-1.6550","0.9506","-0.7421","0.3694","null",519299,542340,0,1,"Top","null","null",,,608348,,"null","8.5860","-134.1353","-8.4941","-22.4796","28.8586","-18.6616","3.1351","1.4475","null","null","null","93.8620","1905","7.2610",492522,656427,608348,572228,591971,649557,622270,642423,664056,545341,"53.2384","null","null","0.70",1,0,0,"null",3,"6","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2017-09-30","92.5","2.2455","4.5845","Eric Thames",519346,595411,"field_out","hit_into_play",,,,,12,"Eric Thames grounds out to first baseman Jose Martinez.  ","R","L","L","STL","MIL","X",3,"ground_ball",3,2,2017,"1.3844","-0.1191","1.0152","2.1872","null","null","null",0,8,"Top","160.78","170.00",,,608348,,"null","-6.0191","-134.4334","-0.0706","17.7888","28.1638","-33.8138","2.7983","1.2421","56","74.1","3.8","91.7570","2073","5.8310",492507,595411,608348,500874,594824,649557,657557,502054,664056,572039,"54.6679","0.214","0.197","0.00",1,0,0,2,64,"9","Sinker",4,6,6,4,6,4,6,4,"Infield shift","Standard"
"SI","2017-09-30","88.6","2.9774","5.8936","Eric Thames",519346,435043,"force_out","hit_into_play",,,,,8,"Eric Thames grounds into a force out, fielded by shortstop Paul DeJong.   Jacob Barnes out at 2nd.  ","R","L","L","STL","MIL","X",6,"ground_ball",0,1,2017,"1.1792","0.3369","-0.0376","1.6625","null",621433,606930,2,5,"Top","128.78","149.68",,,608348,,"null","-9.6495","-128.2674","-4.8457","14.8223","26.7787","-27.7426","3.0447","1.2420","null","82.9","-20.7","87.5130","1930","5.9030",492507,435043,608348,500874,594824,649557,657557,502054,664056,572039,"54.5962","0.067","0.064","0.00",1,0,0,2,46,"2","Sinker",4,6,6,4,6,4,6,4,"Standard","Standard"
"CH","2017-09-30","83.6","-1.0814","5.3139","Eric Thames",519346,596133,"strikeout","called_strike",,,,,8,"Eric Thames called out on strikes.  ","R","L","R","STL","MIL","S",2,"null",0,2,2017,"-1.0363","0.7135","-0.1460","1.6798","null","null",572180,0,4,"Top","null","null",,,608348,,"null","4.0830","-121.2775","-3.2090","-10.8115","25.3060","-24.9093","2.9460","1.2913","null","null","null","82.2910","1406","5.7250",492507,596133,608348,500874,594824,649557,657557,502054,664056,572039,"54.7739","null","null","0.00",1,0,0,"null",34,"3","Changeup",4,6,6,4,6,4,6,4,"Infield shift","Standard"
"FF","2017-09-30","93.0","-1.1598","5.3580","Eric Thames",519346,596133,"walk","ball",,,,,13,"Eric Thames walks.  ","R","L","R","STL","MIL","B","null","null",3,0,2017,"-0.8276","1.5619","-0.0201","1.1297","null","null","null",1,3,"Top","null","null",,,608348,,"null","4.6140","-134.5773","-8.1508","-10.8849","32.7008","-12.0406","2.9953","1.2667","null","null","null","91.1580","2279","5.7490",492507,596133,608348,500874,594824,649557,657557,502054,664056,572039,"54.7504","null","null","0.70",1,0,0,"null",17,"4","4-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"FF","2017-09-30","96.2","-0.9700","5.5948","Eric Thames",519346,596133,"strikeout","called_strike",,,,,12,"Eric Thames called out on strikes.  ","R","L","R","STL","MIL","S",2,"null",2,2,2017,"-0.6224","1.3133","0.9523","2.9631","null","null","null",0,1,"Top","null","null",,,608348,,"null","6.4326","-139.5197","-4.2207","-9.5612","33.9813","-14.5259","2.9706","1.2666","null","null","null","95.1540","2318","6.0440",492507,596133,608348,500874,594824,649557,657557,502054,664056,572039,"54.4548","null","null","0.00",1,0,0,"null",1,"6","4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SI","2017-09-29","97.5","-1.1766","5.8341","Eric Thames",519346,645261,"single","hit_into_play_score",,,,,5,"Eric Thames singles on a line drive to right fielder Magneuris Sierra.   Brett Phillips scores.  Eric Sogard advances to 3rd, on a fielding error by right fielder Magneuris Sierra.  ","R","L","R","STL","MIL","X",9,"line_drive",0,0,2017,"-1.5926","0.6921","0.1176","1.8942","null",621433,519299,1,9,"Top","193.49","103.02",,,608348,,"null","7.0299","-141.3453","-6.5227","-22.7498","34.7644","-21.6815","3.0941","1.2422","225","98.1","15.9","96.4600","2416","6.0760",492492,645261,608348,500874,594824,649557,657557,664056,502054,642423,"54.4233","0.556","0.628","0.90",1,1,0,4,64,"1","Sinker",1,4,4,1,4,1,4,1,"Standard","Standard"
