"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2019-09-29","75.7","-2.0722","5.7981","Tanner Roark",605480,543699,"field_out","hit_into_play",,,,,8,"Mallex Smith grounds out, shortstop Franklin Barreto to first baseman Seth Brown.  ","R","L","R","SEA","OAK","X",6,"ground_ball",2,2,2019,"0.9902","-1.3425","0.2460","2.0159","null","null","null",0,4,"Bot","114.70","139.94",,,572033,,"190929_202453","3.0731","-109.8766","1.5263","7.1047","20.6065","-43.1621","3.3190","1.5130","124","71.1","11.0","73.8980","2670","5.2170",566452,543699,572033,664913,595777,641914,620439,543257,621450,572039,"55.2825","0.302","0.253","0.00",1,0,0,2,32,"5","Curveball",2,0,2,0,0,2,2,0,"Standard","Standard"
"CU","2019-09-29","74.4","-2.1870","5.7713","Tanner Roark",605480,543699,"field_out","hit_into_play",,,,,4,"Mallex Smith flies out to left fielder Robbie Grossman.  ","R","L","R","SEA","OAK","X",7,"fly_ball",2,2,2019,"1.0970","-1.3439","-0.4397","2.1247","null","null",596129,0,2,"Bot","50.23","96.53",,,572033,,"190929_194428","1.7062","-107.8737","2.0787","7.6853","22.2148","-42.7907","3.1300","1.4400","300","90.3","30.1","71.7570","2829","4.8790",566452,543699,572033,664913,595777,641914,620439,543257,621450,572039,"55.6204","0.082","0.111","0.00",1,0,0,3,15,"5","Curveball",2,0,2,0,0,2,2,0,"Strategic","Standard"
"FF","2019-09-28","94.5","4.0906","5.6990","Jake Diekman",605480,518617,"field_out","hit_into_play",,,,,8,"Mallex Smith lines out to center fielder Mark Canha.  ","R","L","L","SEA","OAK","X",8,"line_drive",2,1,2019,"1.1368","1.2667","0.2448","2.0029",542979,"null",621005,2,7,"Bot","135.59","62.21",,,669221,,"190929_031057","-12.3179","-136.9278","-6.6038","16.6115","28.0041","-15.3478","3.3500","1.5700","324","94.3","17.9","93.5100","2149","5.7770",566451,518617,669221,621566,641914,656305,543760,543257,592192,657656,"54.7228","0.462","0.471","0.00",1,0,0,4,54,"4","4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard"
"SI","2019-09-28","90.0","1.6839","6.2128","Brett Anderson",605480,474463,"fielders_choice_out","hit_into_play",,,,,6,"Mallex Smith reaches on a fielder's choice out, first baseman Matt Olson to catcher Sean Murphy.   Tom Murphy out at home.    Tim Lopes to 2nd.  ","R","L","L","SEA","OAK","X",3,"ground_ball",1,0,2019,"1.0797","0.4443","0.3417","2.5473",608596,"null",621005,1,5,"Bot","132.58","192.76",,,669221,,"190929_023012","-5.5479","-130.9725","-4.0624","13.4105","26.1161","-26.5228","3.1300","1.4500","null","41.0","-39.0","89.6650","1589","5.9540",566451,474463,669221,621566,641914,656305,543760,640461,592192,657656,"54.5453","0.142","0.135","0.00",1,0,0,1,38,"2","Sinker",0,1,0,1,1,0,0,1,"Strategic","Standard"
"SI","2019-09-28","92.1","1.6024","6.2935","Brett Anderson",605480,474463,"single","hit_into_play_no_out",,,,,5,"Mallex Smith singles on a ground ball to center fielder Mark Canha.  ","R","L","L","SEA","OAK","X",8,"ground_ball",0,1,2019,"1.0834","0.9320","0.0336","2.3856","null","null","null",1,3,"Bot","147.29","103.03",,,669221,,"190929_015437","-6.1439","-133.8266","-5.9826","13.9046","26.1113","-20.3123","3.1300","1.4500","20","94.9","-5.4","90.9390","2009","5.4510",566451,474463,669221,621566,641914,656305,543760,640461,592192,657656,"55.0489","0.285","0.262","0.90",1,1,0,2,21,"2","Sinker",0,1,0,1,1,0,0,1,"Standard","Standard"
"FF","2019-09-27","97.6","-1.7104","6.0286","Liam Hendriks",605480,521230,"single","hit_into_play_no_out",,,,,4,"Mallex Smith singles on a sharp line drive to right fielder Ramon Laureano.  ","R","L","R","SEA","OAK","X",9,"line_drive",0,0,2019,"-0.5699","1.6906","-0.5137","2.1541","null","null","null",1,9,"Bot","160.35","81.15",,,669221,,"190928_053324","4.5086","-141.8553","-8.7218","-8.7014","33.9425","-7.7065","3.1200","1.4400","221","103.3","10.9","97.1250","2436","6.1890",566450,521230,669221,621566,595777,656305,543760,640461,592192,657656,"54.3106","0.905","0.872","0.90",1,1,0,4,74,"1","4-Seam Fastball",2,3,2,3,3,2,2,3,"Standard","Standard"
"FF","2019-09-26","98.3","-1.7185","6.1084","Liam Hendriks",605480,521230,"strikeout","swinging_strike",,,,,2,"Mallex Smith strikes out swinging.  ","R","L","R","SEA","OAK","S",2,"null",0,2,2019,"-0.5315","1.6835","-0.0343","3.2260","null","null","null",0,9,"Bot","null","null",,,669221,,"190927_044531","5.8115","-142.9477","-6.2491","-8.6685","33.8450","-7.8122","3.1200","1.4500","null","null","null","98.3920","2549","6.4390",566449,521230,669221,621566,641914,656305,543760,664913,657656,543257,"54.0608","null","null","0.00",1,0,0,"null",67,"3","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2019-09-26","87.0","4.0471","5.3728","Sean Manaea",605480,640455,"field_out","hit_into_play",,,,,4,"Mallex Smith bunt pops out softly to third baseman Matt Chapman.  ","R","L","L","SEA","OAK","X",5,"popup",0,0,2019,"0.9671","0.9788","-0.4545","2.2446","null","null","null",0,6,"Bot","120.69","175.51",,,669221,,"190927_035514","-12.7716","-126.0095","-3.2825","12.9294","25.4555","-21.2437","3.1200","1.4500","65","31.9","39.9","86.9080","1961","6.4750",566449,640455,669221,621566,595777,656305,543760,664913,657656,543257,"54.0244","0.162","0.141","0.00",1,0,0,1,47,"1","4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard"
"FF","2019-09-26","89.4","4.2479","5.3007","Sean Manaea",605480,640455,"force_out","hit_into_play",,,,,1,"Mallex Smith grounds into a force out, second baseman Jurickson Profar to shortstop Marcus Semien.   Domingo Santana out at 2nd.    Mallex Smith to 1st.  ","R","L","L","SEA","OAK","X",4,"ground_ball",0,1,2019,"0.6795","1.0241","-0.4912","2.8698","null","null",570267,1,3,"Bot","148.81","156.76",,,669221,,"190927_030040","-13.1697","-129.6110","-2.1145","10.5230","27.4786","-20.2765","3.1200","1.4500","44","82.8","-0.6","89.6160","2011","6.6580",566449,640455,669221,621566,595777,656305,543760,664913,657656,543257,"53.8415","0.200","0.183","0.00",1,0,0,2,25,"2","4-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard"
"SL","2019-09-24","89.4","-0.8624","5.9337","Ryan Pressly",605480,519151,"strikeout","swinging_strike",,,,,13,"Mallex Smith strikes out swinging.  ","R","L","R","SEA","HOU","S",2,"null",2,2,2019,"0.5362","-0.1314","-0.1982","1.0194",596129,543829,"null",1,8,"Bot","null","null",,,455117,,"190925_043730","0.5395","-130.0847","-5.8283","5.8590","23.6212","-32.8018","3.1049","1.5040","null","null","null","88.5250","null","5.4470",566447,519151,455117,493329,514888,649557,608324,663656,543807,502210,"55.0522","null","null","0.00",1,0,0,"null",59,"5","Slider",0,3,0,3,3,0,0,3,"Standard","Strategic"
