"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Vladimir Guerrero Jr.","TOR","57","243","18","44","47","1","14.0%","14.8%",".328",".331",".333",".436",".662",".457",".424","195","1.5","29.2","-3.7","3.5","19611"
"Nick Castellanos","CIN","52","229","12","37","31","1","7.9%","18.3%",".268",".406",".359",".415",".627",".443",".417","181","0.7","23.4","-1.2","3.0","11737"
"Ronald Acuna Jr.","ATL","53","233","17","46","35","11","13.7%","21.0%",".320",".282",".278",".386",".598",".413",".435","162","3.1","21.0","-0.7","2.8","18401"
"Cedric Mullins II","BAL","59","255","9","32","18","9","9.8%","17.6%",".211",".368",".322",".390",".533",".395",".344","156","0.5","17.6","1.0","2.8","17929"
"Yoan Moncada","CHW","57","243","5","30","30","0","16.5%","27.2%",".137",".417",".294",".424",".431",".382",".393","149","0.0","14.1","4.9","2.8","17232"
"Xander Bogaerts","BOS","56","234","10","33","36","4","8.1%","19.2%",".218",".361",".318",".376",".536",".389",".371","148","2.3","15.7","3.3","2.8","12161"
"Marcus Semien","TOR","57","255","13","39","32","8","9.8%","24.7%",".237",".353",".294",".365",".531",".384",".334","146","1.3","15.3","2.9","2.8","12533"
"Kris Bryant","CHC","55","232","13","38","38","3","10.3%","22.8%",".279",".360",".309",".388",".588",".414",".366","165","1.9","20.3","-1.6","2.7","15429"
"Max Muncy","LAD","56","232","13","39","30","1","19.4%","20.7%",".264",".289",".264",".422",".527",".407",".432","164","0.7","18.9","-0.5","2.6","13301"
"Fernando Tatis Jr.","SDP","43","181","17","41","39","13","12.7%","24.9%",".390",".292",".292",".376",".682",".430",".424","177","4.1","21.3","-2.8","2.5","19709"
"Jesse Winker","CIN","50","221","17","44","37","0","8.6%","18.1%",".315",".371",".350",".412",".665",".455",".411","189","-2.5","21.6","-4.9","2.4","13590"
"Trea Turner","WSN","56","246","10","31","29","13","5.3%","20.7%",".180",".361",".311",".354",".491",".364",".344","130","1.5","10.6","5.0","2.4","16252"
